Time (min),Volume of Mixture (ml),Viable Cells (10^6 cells/ml),mAb Concentration (mg/l),Glucose Concentration (g/l),Lactate Concentration (g/l),Viability (%)
1444,5650,1.524864709,18.6510308732,5.4724770282,0.498204697402,98.8203249336
1445,5650,1.52562669021,18.669466093,5.47193218891,0.498543421616,98.8202028382
1446,5650,1.52638895267,18.6879105243,5.47138712587,0.498882249779,98.8200807281
1447,5650,1.52715149638,18.7063641706,5.47084183905,0.499221181866,98.8199586032
1448,5650,1.52791432136,18.7248270352,5.47029632843,0.499560217852,98.8198364636
1449,5650,1.5286774276,18.7432991216,5.46975059395,0.499899357714,98.8197143091
1450,5650,1.52944081512,18.7617804331,5.4692046356,0.500238601428,98.8195921398
1451,5650,1.53020448393,18.7802709732,5.46865845332,0.500577948968,98.8194699557
1452,5650,1.53096843403,18.7987707452,5.46811204709,0.500917400311,98.8193477566
1453,5650,1.53173266543,18.8172797525,5.46756541687,0.501256955432,98.8192255425
1454,5650,1.53249717814,18.8357979986,5.46701856262,0.501596614306,98.8191033135
1455,5650,1.53326197215,18.8543254868,5.46647148432,0.501936376909,98.8189810694
1456,5650,1.53402704749,18.8728622206,5.46592418192,0.502276243217,98.8188588103
1457,5650,1.53479240416,18.8914082034,5.46537665538,0.502616213203,98.8187365361
1458,5650,1.53555804215,18.9099634384,5.46482890468,0.502956286845,98.8186142468
1459,5650,1.53632396149,18.9285279293,5.46428092978,0.503296464116,98.8184919423
1460,5650,1.53709016217,18.9471016793,5.46373273064,0.503636744992,98.8183696226
1461,5650,1.53785664421,18.9656846918,5.46318430723,0.503977129448,98.8182472878
1462,5650,1.5386234076,18.9842769702,5.46263565952,0.504317617458,98.8181249376
1463,5650,1.53939045236,19.0028785181,5.46208678746,0.504658208998,98.8180025722
1464,5650,1.54015777849,19.0214893386,5.46153769102,0.504998904043,98.8178801914
1465,5650,1.54092538599,19.0401094354,5.46098837018,0.505339702566,98.8177577953
1466,5650,1.54169327488,19.0587388116,5.46043882489,0.505680604544,98.8176353838
